Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
SYLD,10425,0,0.00,0,0.00,62.81,10425,0
TAIL,10293,0,0.00,0,0.00,12.68,10293,0
IYJ,10285,0,0.00,0,0.00,107.02,10189,96
IFRA,10282,0,0.00,0,0.00,37.65,9652,630
NUSC,10015,0,0.00,0,0.00,35.50,9185,830
GNOV,9812,0,0.00,0,0.00,30.94,9812,0
TMFC,9623,0,0.00,0,0.00,43.09,9123,500
JCPB,9288,0,0.00,0,0.00,45.68,8717,571
VSGX,9160,0,0.00,0,0.00,53.02,8866,294
BBIN,8846,0,0.00,0,0.00,54.82,8846,0
XSHQ,8838,0,0.00,0,0.00,36.50,8838,0
PWS,8587,0,0.00,0,0.00,25.98,8587,0
GSUS,8553,0,0.00,0,0.00,62.71,8153,400
PTLC,8499,0,0.00,0,0.00,41.90,8299,200
IYT,8276,0,0.00,0,0.00,244.45,8276,0
ESML,8113,0,0.00,0,0.00,34.35,8088,25
MBCC,8025,0,0.00,0,0.00,28.27,4471,3554
UDEC,7903,0,0.00,0,0.00,31.12,7903,0
VIXM,7887,0,0.00,0,0.00,17.24,7687,200
MEAR,7463,0,0.00,0,0.00,50.01,7002,461
XSHD,7426,0,0.00,0,0.00,15.02,7426,0
BUYW,7305,0,0.00,0,0.00,13.44,6505,800
MAMB,7275,0,0.00,0,0.00,21.65,3400,3875
FNOV,7031,0,0.00,0,0.00,41.26,6931,100
JUCY,6886,0,0.00,0,0.00,23.98,6812,74
PTMC,6812,0,0.00,0,0.00,30.81,6812,0
EYLD,6588,0,0.00,0,0.00,29.77,6588,0
GCLN,6582,0,0.00,0,0.00,33.14,6582,0
GDE,6539,0,0.00,0,0.00,26.35,6539,0
GJUL,6528,0,0.00,0,0.00,31.20,6528,0
FLBL,6507,0,0.00,0,0.00,24.15,6507,0
SMMV,6311,0,0.00,0,0.00,34.15,4555,1756
REGL,6273,0,0.00,0,0.00,68.89,6273,0
