Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
XDSQ,121,0,0.00,0,0.00,29.27,121,0
KRUZ,119,0,0.00,0,0.00,26.02,119,0
EMDV,118,0,0.00,0,0.00,43.36,118,0
OCTH,114,0,0.00,0,0.00,24.50,114,0
OCTQ,107,0,0.00,0,0.00,24.22,7,100
QTOC,107,0,0.00,0,0.00,24.68,107,0
TMDV,107,0,0.00,0,0.00,44.75,107,0
INTL,104,0,0.00,0,0.00,21.35,3,101
TSLP,104,0,0.00,0,0.00,27.80,4,100
ESGG,102,0,0.00,0,0.00,143.67,102,0
IBHJ,102,0,0.00,0,0.00,25.40,102,0
GHMS,101,0,0.00,0,0.00,25.49,101,0
OCTD,101,0,0.00,0,0.00,24.64,101,0
TRTY,101,0,0.00,0,0.00,24.81,101,0
APRH,100,0,0.00,0,0.00,25.06,100,0
GSEE,100,0,0.00,0,0.00,40.60,100,0
LCF,100,0,0.00,0,0.00,29.51,100,0
TGLR,100,0,0.00,0,0.00,23.89,100,0
XBAP,100,0,0.00,0,0.00,30.07,100,0
GEMD,98,0,0.00,0,0.00,39.39,98,0
EMTL,96,0,0.00,0,0.00,40.90,96,0
HEAT,89,0,0.00,0,0.00,23.68,89,0
FDHT,84,0,0.00,0,0.00,17.25,84,0
WEED,84,0,0.00,0,0.00,29.17,84,0
UNOV,82,0,0.00,0,0.00,30.97,82,0
ARKC,80,0,0.00,0,0.00,25.39,80,0
DKRB,79,0,0.00,0,0.00,25.11,79,0
ESG,79,0,0.00,0,0.00,111.71,79,0
EGUS,75,0,0.00,0,0.00,32.18,74,1
EAOR,64,0,0.00,0,0.00,27.96,64,0
SVAL,62,0,0.00,0,0.00,27.35,62,0
AMZP,55,0,0.00,0,0.00,26.60,55,0
HELX,50,0,0.00,0,0.00,28.01,50,0
MBNE,48,0,0.00,0,0.00,29.31,48,0
BAMA,39,0,0.00,0,0.00,26.17,39,0
FAIL,39,0,0.00,0,0.00,18.00,39,0
SFIG,37,0,0.00,0,0.00,47.26,37,0
GMAR,33,0,0.00,0,0.00,32.86,33,0
SEIV,32,0,0.00,0,0.00,26.54,32,0
IAUF,29,0,0.00,0,0.00,60.95,29,0
PBTP,25,0,0.00,0,0.00,24.77,25,0
FDTB,20,0,0.00,0,0.00,10.14,20,0
RVRB,20,0,0.00,0,0.00,23.97,20,0
MSFY,19,0,0.00,0,0.00,26.47,19,0
IEDI,18,0,0.00,0,0.00,41.15,18,0
MBBB,16,0,0.00,0,0.00,20.80,16,0
ARKA,15,0,0.00,0,0.00,38.19,15,0
DURA,14,0,0.00,0,0.00,30.23,14,0
BGLD,13,0,0.00,0,0.00,20.69,13,0
TSLH,12,0,0.00,0,0.00,25.77,12,0
DFRA,10,0,0.00,0,0.00,27.86,10,0
GOOP,10,0,0.00,0,0.00,26.10,10,0
NOVZ,9,0,0.00,0,0.00,34.31,9,0
RYSE,8,0,0.00,0,0.00,30.34,8,0
APRJ,7,0,0.00,0,0.00,24.94,7,0
MBND,7,0,0.00,0,0.00,26.99,7,0
MAGA,6,0,0.00,0,0.00,39.61,6,0
EUDV,4,0,0.00,0,0.00,44.64,4,0
FDEM,4,0,0.00,0,0.00,23.09,4,0
IVVB,4,0,0.00,0,0.00,25.63,4,0
JULD,4,0,0.00,0,0.00,25.18,4,0
PIT,4,0,0.00,0,0.00,53.43,4,0
PSFO,4,0,0.00,0,0.00,25.22,4,0
WUGI,4,0,0.00,0,0.00,48.36,4,0
BUYZ,3,0,0.00,0,0.00,26.99,3,0
DWAT,3,0,0.00,0,0.00,10.02,3,0
HYXU,3,0,0.00,0,0.00,49.07,3,0
QTJA,3,0,0.00,0,0.00,21.06,3,0
DBJA,2,0,0.00,0,0.00,29.27,2,0
DSJA,2,0,0.00,0,0.00,29.60,2,0
ESHY,2,0,0.00,0,0.00,18.16,2,0
GMAY,2,0,0.00,0,0.00,32.14,2,0
MINN,2,0,0.00,0,0.00,21.94,2,0
PEX,2,0,0.00,0,0.00,27.44,2,0
RTAI,2,0,0.00,0,0.00,19.96,2,0
SHDG,2,0,0.00,0,0.00,24.37,2,0
WBAT,2,0,0.00,0,0.00,29.68,2,0
WLDR,2,0,0.00,0,0.00,26.24,2,0
XVOL,2,0,0.00,0,0.00,17.74,2,0
ZIVB,2,0,0.00,0,0.00,22.06,2,0
ARCM,1,0,0.00,0,0.00,100.14,1,0
DOGG,1,0,0.00,0,0.00,19.99,1,0
IVRA,1,0,0.00,0,0.00,13.42,1,0
SANE,1,0,0.00,0,0.00,22.81,1,0
SUPP,1,0,0.00,0,0.00,51.69,1,0
VIRS,1,0,0.00,0,0.00,30.46,1,0
ACSI,0,0,0.00,0,0.00,0.00,0,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
AUGZ,0,0,0.00,0,0.00,0.00,0,0
BAMB,0,0,0.00,0,0.00,0.00,0,0
BAMO,0,0,0.00,0,0.00,0.00,0,0
BAMU,0,0,0.00,0,0.00,0.00,0,0
BBIB,0,0,0.00,0,0.00,0.00,0,0
BBIP,0,0,0.00,0,0.00,0.00,0,0
BBSA,0,0,0.00,0,0.00,0.00,0,0
BBSB,0,0,0.00,0,0.00,0.00,0,0
BHYB,0,0,0.00,0,0.00,0.00,0,0
BINV,0,0,0.00,0,0.00,0.00,0,0
BSMC,0,0,0.00,0,0.00,0.00,0,0
BWTG,0,0,0.00,0,0.00,0.00,0,0
CFCV,0,0,0.00,0,0.00,0.00,0,0
CMCI,0,0,0.00,0,0.00,0.00,0,0
CVAR,0,0,0.00,0,0.00,0.00,0,0
DSCF,0,0,0.00,0,0.00,0.00,0,0
DSEP,0,0,0.00,0,0.00,0.00,0,0
DWCR,0,0,0.00,0,0.00,0.00,0,0
ESCR,0,0,0.00,0,0.00,0.00,0,0
EVUS,0,0,0.00,0,0.00,0.00,0,0
FDCE,0,0,0.00,0,0.00,0.00,0,0
FDGR,0,0,0.00,0,0.00,0.00,0,0
FDVL,0,0,0.00,0,0.00,0.00,0,0
FLDZ,0,0,0.00,0,0.00,0.00,0,0
GLDB,0,0,0.00,0,0.00,0.00,0,0
GPAL,0,0,0.00,0,0.00,0.00,0,0
HIYS,0,0,0.00,0,0.00,0.00,0,0
IMSI,0,0,0.00,0,0.00,0.00,0,0
IPPP,0,0,0.00,0,0.00,0.00,0,0
ISDB,0,0,0.00,0,0.00,0.00,0,0
ISVL,0,0,0.00,0,0.00,0.00,0,0
JANZ,0,0,0.00,0,0.00,0.00,0,0
JULQ,0,0,0.00,0,0.00,0.00,0,0
JULZ,0,0,0.00,0,0.00,0.00,0,0
JUNZ,0,0,0.00,0,0.00,0.00,0,0
KCAL,0,0,0.00,0,0.00,0.00,0,0
LGLZ,0,0,0.00,0,0.00,0.00,0,0
MARZ,0,0,0.00,0,0.00,0.00,0,0
MAYZ,0,0,0.00,0,0.00,0.00,0,0
MDEV,0,0,0.00,0,0.00,0.00,0,0
MIG,0,0,0.00,0,0.00,0.00,0,0
MOTE,0,0,0.00,0,0.00,0.00,0,0
MSTQ,0,0,0.00,0,0.00,0.00,0,0
NFLP,0,0,0.00,0,0.00,0.00,0,0
OBND,0,0,0.00,0,0.00,0.00,0,0
OCTJ,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PBL,0,0,0.00,0,0.00,0.00,0,0
PSCW,0,0,0.00,0,0.00,0.00,0,0
PSCX,0,0,0.00,0,0.00,0.00,0,0
PSDM,0,0,0.00,0,0.00,0.00,0,0
PSFD,0,0,0.00,0,0.00,0.00,0,0
PSFJ,0,0,0.00,0,0.00,0.00,0,0
PSFM,0,0,0.00,0,0.00,0.00,0,0
PSMD,0,0,0.00,0,0.00,0.00,0,0
PSMJ,0,0,0.00,0,0.00,0.00,0,0
PSMR,0,0,0.00,0,0.00,0.00,0,0
PUTD,0,0,0.00,0,0.00,0.00,0,0
QCON,0,0,0.00,0,0.00,0.00,0,0
QTAP,0,0,0.00,0,0.00,0.00,0,0
QTJL,0,0,0.00,0,0.00,0.00,0,0
SEIQ,0,0,0.00,0,0.00,0.00,0,0
SELV,0,0,0.00,0,0.00,0.00,0,0
SEPZ,0,0,0.00,0,0.00,0.00,0,0
SMI,0,0,0.00,0,0.00,0.00,0,0
SNPD,0,0,0.00,0,0.00,0.00,0,0
SNPG,0,0,0.00,0,0.00,0.00,0,0
SNPV,0,0,0.00,0,0.00,0.00,0,0
SPCZ,0,0,0.00,0,0.00,0.00,0,0
SPMV,0,0,0.00,0,0.00,0.00,0,0
TDVI,0,0,0.00,0,0.00,0.00,0,0
TFJL,0,0,0.00,0,0.00,0.00,0,0
TUSI,0,0,0.00,0,0.00,0.00,0,0
UJUN,0,0,0.00,0,0.00,0.00,0,0
VMAT,0,0,0.00,0,0.00,0.00,0,0
VWID,0,0,0.00,0,0.00,0.00,0,0
WFIG,0,0,0.00,0,0.00,0.00,0,0
XBOC,0,0,0.00,0,0.00,0.00,0,0
XDAP,0,0,0.00,0,0.00,0.00,0,0
XDJA,0,0,0.00,0,0.00,0.00,0,0
XEMD,0,0,0.00,0,0.00,0.00,0,0
XTAP,0,0,0.00,0,0.00,0.00,0,0
XTJL,0,0,0.00,0,0.00,0.00,0,0
XTOC,0,0,0.00,0,0.00,0.00,0,0
YPS,0,0,0.00,0,0.00,0.00,0,0
